"zip","city","county","state","pop"
"90503","Torrance","Los Angeles","CA",44908
"93446","Paso Robles","San Luis Obispo","CA",44753
"95307","Ceres","Stanislaus","CA",44736
"90027","Los Angeles","Los Angeles","CA",44686
"92867","Orange","Orange","CA",44628
"90043","Los Angeles","Los Angeles","CA",44627
"92102","San Diego","San Diego","CA",44500
"91606","North Hollywood","Los Angeles","CA",44476
"96003","Redding","Shasta","CA",44475
"91789","Walnut","Los Angeles","CA",44474
"95209","Stockton","San Joaquin","CA",44313
"94403","San Mateo","San Mateo","CA",44300
"94546","Castro Valley","Alameda","CA",44272
"94117","San Francisco","San Francisco","CA",44239
"90241","Downey","Los Angeles","CA",44143
"93702","Fresno","Fresno","CA",44139
"94928","Rohnert Park","Sonoma","CA",44103
"92555","Moreno Valley","Riverside","CA",43957
"94121","San Francisco","San Francisco","CA",43795
"94531","Antioch","Contra Costa","CA",43788
"91387","Canyon Country","Los Angeles","CA",43717
"92374","Redlands","San Bernardino","CA",43633
"91360","Thousand Oaks","Ventura","CA",43342
"92618","Irvine","Orange","CA",43316
"93726","Fresno","Fresno","CA",43209
"95678","Roseville","Placer","CA",43132
"94066","San Bruno","San Mateo","CA",43124
"94605","Oakland","Alameda","CA",43112
"94521","Concord","Contra Costa","CA",43103
"90806","Long Beach","Los Angeles","CA",42817
"94025","Menlo Park","San Mateo","CA",42788
"94010","Burlingame","San Mateo","CA",42730
"95380","Turlock","Stanislaus","CA",42672
"90242","Downey","Los Angeles","CA",42553
"95831","Sacramento","Sacramento","CA",42514
"95762","El Dorado Hills","El Dorado","CA",42494
"95407","Santa Rosa","Sonoma","CA",42483
"94901","San Rafael","Marin","CA",42482
"94134","San Francisco","San Francisco","CA",42471
"90275","Rancho Palos Verdes","Los Angeles","CA",42421
"92019","El Cajon","San Diego","CA",42400
"90501","Torrance","Los Angeles","CA",42335
"92545","Hemet","Riverside","CA",42248
"92802","Anaheim","Orange","CA",42248
"92054","Oceanside","San Diego","CA",42173
"90604","Whittier","Los Angeles","CA",42063
"94561","Oakley","Contra Costa","CA",41911
"95132","San Jose","Santa Clara","CA",41844
"92308","Apple Valley","San Bernardino","CA",41807
"95621","Citrus Heights","Sacramento","CA",41757
"90007","Los Angeles","Los Angeles","CA",41716
"91016","Monrovia","Los Angeles","CA",41671
"94804","Richmond","Contra Costa","CA",41510
"94118","San Francisco","San Francisco","CA",41468
"91401","Van Nuys","Los Angeles","CA",41412
"95833","Sacramento","Sacramento","CA",41209
"90045","Los Angeles","Los Angeles","CA",41149
"95628","Fair Oaks","Sacramento","CA",41121
"95210","Stockton","San Joaquin","CA",41117
"92591","Temecula","Riverside","CA",41107
"94578","San Leandro","Alameda","CA",41059
"93292","Visalia","Tulare","CA",41031
"90815","Long Beach","Los Angeles","CA",41026
"90605","Whittier","Los Angeles","CA",40957
"93706","Fresno","Fresno","CA",40936
"95695","Woodland","Yolo","CA",40857
"93635","Los Banos","Merced","CA",40759
